================================================================================
TRAINING LOG
================================================================================
Start Time: 2026-02-09 12:15:38

CONFIGURATION:
--------------------------------------------------------------------------------
image_size               : 256
batch_size               : 4
num_epochs               : 100
lr_g                     : 0.0002
lr_d                     : 0.0002
beta1                    : 0.5
beta2                    : 0.999
lambda_contrastive       : 1.0
lambda_identity          : 5.0
lambda_saturation        : 2.0
target_saturation        : 0.7
temperature              : 0.07
save_interval            : 10
checkpoint_dir           : checkpoints_4
sample_dir               : samples_4

MODEL ARCHITECTURE:
--------------------------------------------------------------------------------
Generator parameters:     5,846,723
Discriminator parameters: 433,267

LOSS FUNCTIONS:
--------------------------------------------------------------------------------
- GAN Loss: MSE (LSGAN)
- Contrastive Loss: InfoNCE
- Identity Loss: L1
- Saturation Loss: DISABLED (commented out)

================================================================================
EPOCH RESULTS:
================================================================================
 Epoch |   D_loss |   G_loss |      GAN | Contrast
    28 |   0.0749 |   3.7775 |   0.9178 |   1.6236
    29 |   0.0663 |   3.7975 |   0.9339 |   1.6190
    30 |   0.0682 |   3.8072 |   0.9532 |   1.6287
    31 |   0.0691 |   3.7657 |   0.9361 |   1.6251
    32 |   0.0631 |   3.8040 |   0.9500 |   1.6246
    33 |   0.0638 |   3.7805 |   0.9418 |   1.6185
    34 |   0.0629 |   3.7707 |   0.9450 |   1.6063
    35 |   0.0587 |   3.7868 |   0.9577 |   1.6111
    36 |   0.0612 |   3.7746 |   0.9533 |   1.6145
    37 |   0.0564 |   3.7906 |   0.9625 |   1.6164
    38 |   0.0523 |   3.7576 |   0.9572 |   1.6153
    39 |   0.0505 |   3.8241 |   0.9798 |   1.6218
    40 |   0.0567 |   3.7827 |   0.9681 |   1.6073
    41 |   0.0608 |   3.7726 |   0.9518 |   1.6118
    42 |   0.0599 |   3.7570 |   0.9584 |   1.6035
    43 |   0.0513 |   3.7756 |   0.9726 |   1.6081
    44 |   0.0488 |   3.7912 |   0.9786 |   1.5990
    45 |   0.0487 |   3.8058 |   0.9921 |   1.6067
    46 |   0.0513 |   3.7910 |   0.9791 |   1.5973
    47 |   0.0537 |   3.7716 |   0.9775 |   1.5971
    48 |   0.0461 |   3.7439 |   0.9750 |   1.5950
    49 |   0.0492 |   3.7611 |   0.9800 |   1.5978
    50 |   0.0470 |   3.7545 |   0.9820 |   1.5913
    51 |   0.0442 |   3.7603 |   0.9870 |   1.5860
    52 |   0.0542 |   3.7433 |   0.9789 |   1.5787
    53 |   0.0508 |   3.7475 |   0.9782 |   1.5861
    54 |   0.0404 |   3.8132 |   1.0126 |   1.5975
    55 |   0.0488 |   3.7575 |   0.9872 |   1.5898
    56 |   0.0411 |   3.7677 |   1.0061 |   1.5743
    57 |   0.0487 |   3.7239 |   0.9765 |   1.5722
    58 |   0.0449 |   3.7193 |   0.9811 |   1.5804
    59 |   0.0460 |   3.7205 |   0.9901 |   1.5689
    60 |   0.0438 |   3.7432 |   0.9946 |   1.5700
    61 |   0.0457 |   3.7251 |   0.9951 |   1.5631
    62 |   0.0449 |   3.7434 |   0.9876 |   1.5676
    63 |   0.0428 |   3.7679 |   1.0039 |   1.5721
    64 |   0.0451 |   3.7236 |   0.9827 |   1.5732
    65 |   0.0407 |   3.7529 |   1.0117 |   1.5455
    66 |   0.0448 |   3.7009 |   0.9816 |   1.5368
    67 |   0.0418 |   3.7618 |   1.0090 |   1.5362
    68 |   0.0466 |   3.7102 |   0.9878 |   1.5412
    69 |   0.0399 |   3.7664 |   1.0117 |   1.5583
    70 |   0.0366 |   3.6932 |   0.9947 |   1.5299
    71 |   0.0464 |   3.7164 |   0.9945 |   1.5263
    72 |   0.0489 |   3.6405 |   0.9749 |   1.5135
    73 |   0.0425 |   3.6911 |   0.9875 |   1.5260
    74 |   0.0380 |   3.7339 |   1.0204 |   1.5096
    75 |   0.0432 |   3.7079 |   0.9947 |   1.5047
    76 |   0.0451 |   3.6827 |   0.9967 |   1.4981
    77 |   0.0420 |   3.7279 |   1.0052 |   1.5043
    78 |   0.0394 |   3.7072 |   1.0035 |   1.5118
    79 |   0.0400 |   3.7225 |   1.0192 |   1.4837
    80 |   0.0368 |   3.7193 |   1.0090 |   1.4853
    81 |   0.0421 |   3.6620 |   0.9923 |   1.4848
    82 |   0.0405 |   3.6825 |   1.0127 |   1.4669
    83 |   0.0415 |   3.6841 |   0.9983 |   1.4752
    84 |   0.0376 |   3.6773 |   1.0074 |   1.4556
    85 |   0.0366 |   3.6636 |   1.0025 |   1.4598
    86 |   0.0345 |   3.6930 |   1.0189 |   1.4517
    87 |   0.0388 |   3.6584 |   1.0063 |   1.4554
    88 |   0.0400 |   3.6470 |   1.0018 |   1.4467
    89 |   0.0296 |   3.6409 |   1.0066 |   1.4348
    90 |   0.0385 |   3.6287 |   1.0037 |   1.4340
    91 |   0.0443 |   3.6242 |   0.9982 |   1.4271
    92 |   0.0364 |   3.6348 |   1.0086 |   1.4126
    93 |   0.0364 |   3.6311 |   1.0116 |   1.4195
    94 |   0.0376 |   3.6446 |   1.0107 |   1.4018
    95 |   0.0367 |   3.6771 |   1.0198 |   1.4233
    96 |   0.0346 |   3.6198 |   1.0067 |   1.4000
    97 |   0.0364 |   3.6078 |   1.0061 |   1.3966
    98 |   0.0321 |   3.6312 |   1.0156 |   1.3986
    99 |   0.0347 |   3.6309 |   1.0223 |   1.3826
   100 |   0.0364 |   3.6199 |   1.0139 |   1.3753

================================================================================
Training completed at: 2026-02-09 14:19:38
================================================================================
